1978 Operation Dragon King,,Postcolonial (1947 to Present),A large-scale military operation in Arakan state that led to mass arrests and torture of many Rohingya Muslims. This caused many of them to flee Burma and into Bangladesh,http://en.wikipedia.org/wiki/King_Dragon_operation_in_Arakan,
1982 Burma Citizenship Law,,Postcolonial (1947 to Present),"A law that did not recognize the Rohingya as citizens, thus leaving the Rohingya Muslims stateless",http://en.wikipedia.org/wiki/Burmese_nationality_law,
World System,,Ancient to Postcolonial,An interconnected geographic entity that operates on trans-regional ties.,http://en.wikipedia.org/wiki/World-system,
Rationalized Bureaucracy,,"Colonial Modern, Postcolonial","A calculated, linear system of administration.",http://en.wikipedia.org/wiki/Rationalization_%28sociology%29,
Liberal Universalism,,Colonial Modern,"The advocacy of expansionist egalitarianism, often through colonization.",http://en.wikipedia.org/wiki/Universalism,
Nation-state,,Colonial Modern to Postcolonial,The derivation of sovereignty through the identification of a cultural or ethnic nation with a geographically defined political entity.,http://en.wikipedia.org/wiki/Nation_state,
Migratory networks,,Ancient to Postcolonial,"The migration of people not as individuals, but as networks of people with regional, religious and kinship ties.",,
Trafficking,,,A term used to describe the forced movement of laborers or humans across borders,http://en.wikipedia.org/wiki/Human_trafficking,
Kafala System,,,A system of labor in the Arab gulf states where laborers who are brought in are tied to particular employers.,http://en.wikipedia.org/wiki/Kafala_system,
Untouchable caste,,,Lower most caste in the notorious Indian caste system - Varna,http://en.wikipedia.org/wiki/Untouchability,
Brahmins,,,Upper most class generally associated with priests,http://en.wikipedia.org/wiki/Brahmin,
Dervish,,,Someone treading a Sufi path or tariqa,http://en.wikipedia.org/wiki/Dervish,
Sufi and Sufism,,,Branch of Islam focusing on mysticism,http://en.wikipedia.org/wiki/Sufism,
Religious Sciences,,,Part of Islamic theology,http://en.wikipedia.org/wiki/Islamic_studies,
Kalam,,,Seeking theology through debate and dialectic,http://en.wikipedia.org/wiki/Ilm_al-Kalam,
Fall of Baghdad,,,Sacking of the Abbasid caliphate by the Mongols,http://en.wikipedia.org/wiki/Siege_of_Baghdad_(1258),
Urs,,,Death anniversary of a Sufi,http://en.wikipedia.org/wiki/Urs,
Zikr/Dhikr,,,Recitation of the name of God,http://en.wikipedia.org/wiki/Dhikr,
Rabita,,,Mentor-learner connection,,
Muraqaba,,,Meditation,http://en.wikipedia.org/wiki/Muraqaba,
Ramadan,,,Ninth month of Islamic calendar; month of fasting.,http://en.wikipedia.org/wiki/Ramadan,
Bhakti,,,Hindu religious movement of the medieval period that promoted the belief that salvation was attainable by everyone.,http://en.wikipedia.org/wiki/Bhakti_movement,
Vaisnava,,,Branch of Hinduism that worships Vishnu,http://en.wikipedia.org/wiki/Vaishnavism,
Baul,,,Mystical minstrels in Bengal,http://en.wikipedia.org/wiki/Baul,
Buddhist tantra,,,"Ancient style of meditation that arose in India and has influenced Hindu, Buddhist, Bon, Jain, and other traditions",http://en.wikipedia.org/wiki/Tantra#Buddhist_Tantra,
Buddhist ritual; Buddhist philosophy,,,"Elaboration, explanation, and methods of thought and practice of the Buddhas teachings as found in the Tripitaka and Agama (primarily the dharmas)",http://en.wikipedia.org/wiki/Buddhist_philosophy,
Inculturation; syncretism; hybridity,,,"Terms referring to the adaptation of cultural and usually religious elements into a society, the combining of different and often contradictory beliefs and melding of different schools of thought, by processes of incorporation rather than forced conversion or elimination of preexisting cultural/religious elements",http://en.wikipedia.org/wiki/Syncretism,
"Hindu folk practices (storytelling, song, ritual, meditative believe, spirituality)",,,"A variety of folk practices practiced in Indian and other Hindu societies, including storytelling, song, ritual, meditative believe, spirituality, and other forms of folk practice",http://en.wikipedia.org/wiki/Folk_religion#Folk_Hinduism,
Islamic systems of landholding and taxation [see Zamindar and Mansabdari],,,"The Zamindar system was a system of landholding and taxation by ruling landlord aristocrats (zamindars) who had a right to tax their peasantry, sometimes for military purposes. Under the Mansabdari system, imperial officials (mansabs) were granted militias of varying capacity within the Mughal Empire",http://en.wikipedia.org/wiki/Zamindar,
Building of mosques and shrines,,,The building of Muslim mosques and shrines in Bengal is associated with Islams syncretic spread and adaptation in the region,http://en.wikipedia.org/wiki/History_of_Bengal#Medieval_Bengal,
Indo-Aryans,,,An ethno-linguistic group referring to a number of communities in South Asia,http://en.wikipedia.org/wiki/Indo-Aryans,
